budget,genre,id,original_language,popularity,revenue,runtime,title,vote_average,vote_count,Main_Actor,Popularity_Actor,Main_Actress,Popularity_Actress,Director,Popularity_Director,release_year,release_month,release_day
6200000,Action,840326,fi,180.066,13009289,91,Sisu,7.54,1472,Jorma Tommila,10.721,Mimosa Willamo,14.761,Jalmari Helander,3.482,2023,1,27
200000000,Action,588228,en,179.755,14400000,138,The Tomorrow War,7.576,2903,Chris Pratt,80.937,Yvonne Strahovski,44.43,Chris McKay,3.099,2021,9,3
46000000,Comedy,912908,en,178.94,32000000,93,Strays,7.546,522,Will Ferrell,27.568,Isla Fisher,16.905,Josh Greenbaum,5.751,2023,8,17
220000000,Science Fiction,24428,en,174.207,1518815515,143,The Avengers,7.711,29342,Robert Downey Jr.,46.048,Scarlett Johansson,61.259,Joss Whedon,12.43,2012,4,25
123000000,Family,8871,en,173.225,345823040,104,How the Grinch Stole Christmas,6.741,6755,Jim Carrey,35.045,Taylor Momsen,10.181,Ron Howard,27.345,2000,11,17
250000000,Fantasy,616037,en,173.149,760928081,119,Thor: Love and Thunder,6.506,6650,Chris Hemsworth,29.701,Natalie Portman,46.511,Taika Waititi,28.846,2022,7,6
151000000,Adventure,493529,en,171.522,208177026,134,Dungeons & Dragons: Honor Among Thieves,7.425,2610,Chris Pine,37.413,Michelle Rodriguez,18.83,John Francis Daley,16.525,2023,3,23
35000000,Horror,934433,en,170.69,168961389,123,Scream VI,7.139,2041,Mason Gooding,13.709,Melissa Barrera,26.108,Matt Bettinelli-Olpin,3.186,2023,3,8
55000000,War,882569,en,167.977,20000000,123,Guy Ritchie's The Covenant,7.808,1828,Jake Gyllenhaal,38.643,,,Guy Ritchie,23.997,2023,4,19
75000000,Animation,360920,en,167.235,508575295,85,The Grinch,6.828,3442,Benedict Cumberbatch,44.794,Rashida Jones,21.983,Scott Mosier,4.68,2018,11,8
14000000,Romance,537915,en,165.827,69500000,106,After,7.136,7866,Hero Fiennes Tiffin,18.533,Josephine Langford,49.234,Jenny Gage,1.62,2019,4,11
237000000,Action,19995,en,165.821,2923706026,162,Avatar,7.575,30014,Sam Worthington,53.46,Zoe Saldaña,84.656,James Cameron,31.086,2009,12,15
100000000,Adventure,672,en,164.884,876688482,161,Harry Potter and the Chamber of Secrets,7.719,20578,Daniel Radcliffe,50.02,Emma Watson,40.737,Chris Columbus,16.603,2002,11,13
60000000,Fantasy,455476,en,164.861,6794519,113,Knights of the Zodiac,6.621,885,Mackenyu,45.18,Madison Iseman,15.957,Tomek Baginski,3.535,2023,4,27
170000000,Action,361743,en,163.485,1488732821,131,Top Gun: Maverick,8.2,7759,Tom Cruise,43.061,Jennifer Connelly,128.046,Joseph Kosinski,9.141,2022,5,24
200000000,Fantasy,453395,en,162.858,955775804,126,Doctor Strange in the Multiverse of Madness,7.344,8144,Benedict Cumberbatch,44.794,Elizabeth Olsen,38.92,Sam Raimi,29.261,2022,5,4
12000000,Drama,666277,en,162.034,15348213,106,Past Lives,7.937,285,Teo Yoo,15.024,Greta Lee,13.793,Celine Song,2.251,2023,6,2
63000000,Action,734253,hi,161.746,43000000,179,Adipurush,5.3,64,Prabhas,7.579,Kriti Sanon,15.002,Om Raut,1.183,2023,6,16
3500000,Drama,517093,ru,159.273,4944386,130,Balkan Line,7.633,387,Anton Pampushnyy,5.365,Milena Radulović,34.874,Andrey Volgin,1.96,2019,3,21
185000000,Crime,414906,en,158.896,770945583,177,The Batman,7.699,8783,Robert Pattinson,44.498,Zoë Kravitz,25.097,Matt Reeves,9.664,2022,3,1
6000000,Drama,238,en,158.555,245066411,175,The Godfather,8.7,18965,Marlon Brando,17.989,,,Francis Ford Coppola,11.691,1972,3,14
125000000,Comedy,594767,en,156.191,133838006,130,Shazam! Fury of the Gods,6.646,2530,Zachary Levi,20.425,Rachel Zegler,49.804,David F. Sandberg,5.708,2023,3,15
190000000,Animation,508947,en,155.852,18879922,100,Turning Red,7.427,4576,,,Rosalie Chiang,4.031,Domee Shi,5.771,2022,3,10
180000000,Adventure,411,en,155.112,745013115,143,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",7.129,9920,Skandar Keynes,22.016,Georgie Henley,23.7,Andrew Adamson,14.991,2005,12,7
150000000,Action,76341,en,153.259,378858340,121,Mad Max: Fury Road,7.584,21058,Tom Hardy,66.646,Charlize Theron,37.76,George Miller,8.134,2015,5,13
60000000,Animation,808,en,152.739,487853320,90,Shrek,7.731,15945,Mike Myers,19.713,Cameron Diaz,27.823,Andrew Adamson,14.991,2001,5,18
11300000,Comedy,814776,en,152.613,11612324,91,Bottoms,6.989,176,,,Rachel Sennott,20.177,Emma Seligman,3.106,2023,8,25
130000000,Adventure,673,en,152.522,789804554,141,Harry Potter and the Prisoner of Azkaban,8.019,20222,Daniel Radcliffe,50.02,Emma Watson,40.737,Alfonso Cuarón,9.263,2004,5,31
18000000,Comedy,772,en,151.355,358994850,120,Home Alone 2: Lost in New York,6.708,8760,Macaulay Culkin,29.253,John Heard,21.171,Chris Columbus,16.603,1992,11,19
110000000,Science Fiction,580489,en,150.851,506900000,97,Venom: Let There Be Carnage,6.825,9299,Tom Hardy,66.646,Michelle Williams,27.345,Andy Serkis,24.559,2021,9,30
165000000,Adventure,157336,en,150.485,701729206,169,Interstellar,8.42,32930,Matthew McConaughey,56.573,Anne Hathaway,166.509,Christopher Nolan,63.024,2014,11,5
15000000,Horror,713704,en,150.313,146700000,96,Evil Dead Rise,6.973,2448,Morgan Davies,23.515,Lily Sullivan,20.025,Lee Cronin,5.987,2023,4,12
110000000,Action,254128,en,149.844,473990832,114,San Andreas,6.229,8099,Dwayne Johnson,54.688,Alexandra Daddario,53.611,Brad Peyton,4.622,2015,5,27
14000000,Romance,744276,en,149.821,19200000,95,After Ever Happy,6.837,1049,Hero Fiennes Tiffin,18.533,Josephine Langford,49.234,Castille Landon,4.517,2022,8,24
115000000,Animation,585,en,149.531,579707738,92,"Monsters, Inc.",7.837,17347,John Goodman,24.074,Mary Gibbs,1.96,Pete Docter,9.838,2001,11,1
12000000,Science Fiction,536554,en,148.959,179960167,102,M3GAN,7.177,3378,Ronny Chieng,6.424,Allison Williams,20.398,Gerard Johnstone,4.285,2022,12,28
150000000,Science Fiction,335984,en,148.858,259239658,164,Blade Runner 2049,7.548,12514,Ryan Gosling,51.942,Ana de Armas,97.803,Denis Villeneuve,16.977,2017,10,4
150000000,Adventure,675,en,148.639,938212738,138,Harry Potter and the Order of the Phoenix,7.686,18326,Daniel Radcliffe,50.02,Emma Watson,40.737,David Yates,9.155,2007,7,8
75000000,Science Fiction,70160,en,148.167,694394724,142,The Hunger Games,7.196,20811,Josh Hutcherson,128.918,Jennifer Lawrence,45.257,Gary Ross,9.99,2012,3,12
250000,Horror,663712,en,146.401,15100000,138,Terrifier 2,6.8,1486,David Howard Thornton,17.592,Lauren LaVera,11.447,Damien Leone,7.993,2022,10,6
152000000,Action,299537,en,144.976,1131416446,124,Captain Marvel,6.839,14797,Samuel L. Jackson,44.217,Brie Larson,65.616,Ryan Fleck,3.443,2019,3,6
16000000,Horror,614479,en,144.076,185582093,107,Insidious: The Red Door,6.762,1317,Ty Simpkins,24.943,Rose Byrne,27.878,Patrick Wilson,38.366,2023,7,5
250000000,Action,122917,en,143.361,956019788,144,The Hobbit: The Battle of the Five Armies,7.311,13418,Martin Freeman,21.007,,,Peter Jackson,20.163,2014,12,10
250000000,Adventure,767,en,142.347,933959197,153,Harry Potter and the Half-Blood Prince,7.695,18275,Daniel Radcliffe,50.02,Emma Watson,40.737,David Yates,9.155,2009,7,15
18000000,Horror,758323,en,142.117,70204828,103,The Pope's Exorcist,7.108,2176,Russell Crowe,48.088,Alex Essoe,24.612,Julius Avery,2.567,2023,4,5
3000000,Thriller,985939,en,141.396,16120263,107,Fall,7.242,3321,Jeffrey Dean Morgan,34.228,Grace Caroline Currey,18.06,Scott Mann,4.722,2022,8,11
160000000,Action,27205,en,140.898,825532764,148,Inception,8.366,34767,Leonardo DiCaprio,42.545,,,Christopher Nolan,63.024,2010,7,15
60000000,Animation,14836,en,139.963,124600000,100,Coraline,7.861,7141,Keith David,27.937,Dakota Fanning,51.186,Henry Selick,12.494,2009,2,5
125000000,Fantasy,12445,en,139.394,1341511219,130,Harry Potter and the Deathly Hallows: Part 2,8.104,19349,Daniel Radcliffe,50.02,Emma Watson,40.737,David Yates,9.155,2011,7,12
14000000,Romance,744275,en,138.595,21800000,99,After We Fell,7.101,2374,Hero Fiennes Tiffin,18.533,Josephine Langford,49.234,Castille Landon,4.517,2021,9,1
93000000,Adventure,120,en,138.214,871368364,179,The Lord of the Rings: The Fellowship of the Ring,8.405,23550,Elijah Wood,25.806,,,Peter Jackson,20.163,2001,12,18
250000,Drama,761851,en,137.618,12100000,104,His Only Son,5.65,10,Nicola Mouawad,8.381,Sara Seyed,4.524,David Helling,1.4,2023,3,30
40000000,Comedy,661374,en,136.617,13280000,140,Glass Onion: A Knives Out Mystery,7.053,4668,Daniel Craig,75.184,Kathryn Hahn,21.927,Rian Johnson,10.596,2022,11,12
34000000,Action,198663,en,136.131,348319861,113,The Maze Runner,7.175,16019,Kaya Scodelario,22.338,Kaya Scodelario,28.679,Wes Ball,16.999,2014,9,10
20000000,Drama,296096,en,135.748,207945075,110,Me Before You,7.917,11519,Sam Claflin,39.036,Emilia Clarke,65.841,Thea Sharrock,2.327,2016,6,1
85000000,Animation,438695,en,135.342,406000000,110,Sing 2,7.907,3978,Matthew McConaughey,56.573,Reese Witherspoon,42.739,Garth Jennings,7.813,2021,12,1
250000000,Adventure,12444,en,134.95,954305868,146,Harry Potter and the Deathly Hallows: Part 1,7.761,17931,Daniel Radcliffe,50.02,Emma Watson,40.737,David Yates,9.155,2010,11,17
245000000,Action,206647,en,133.698,880674609,148,Spectre,6.5,9957,Daniel Craig,75.184,Léa Seydoux,10.974,Sam Mendes,21.27,2015,10,26
150000000,Animation,809,en,133.641,928760770,93,Shrek 2,7.254,11459,Mike Myers,19.713,Cameron Diaz,27.823,Andrew Adamson,14.991,2004,5,19
22000000,Horror,439079,en,133.551,365582797,96,The Nun,5.891,6263,Demián Bichir,9.218,Taissa Farmiga,37.101,Corin Hardy,1.873,2018,9,5
50000000,Thriller,958006,en,133.55,476375,98,The Kill Room,6,43,Joe Manganiello,22.518,Uma Thurman,81.915,Nicol Paone,5.331,2023,9,14
90000000,Action,324857,en,133.459,375464627,117,Spider-Man: Into the Spider-Verse,8.405,14235,Shameik Moore,10.406,Hailee Steinfeld,53.047,Rodney Rothman,3.077,2018,12,6
14000000,Romance,613504,en,133.339,48000000,105,After We Collided,7.198,5100,Hero Fiennes Tiffin,18.533,Josephine Langford,49.234,Roger Kumble,6.995,2020,9,2
40000000,Drama,324786,en,132.395,175302354,139,Hacksaw Ridge,8.194,12820,Andrew Garfield,34.121,Teresa Palmer,18.75,Mel Gibson,79.721,2016,10,7
185000000,Drama,155,en,131.338,1004558444,152,The Dark Knight,8.513,30926,Christian Bale,38.311,,,Christopher Nolan,63.024,2008,7,16
157800000,Fantasy,616747,en,130.73,117300000,123,Haunted Mansion,6.62,712,Chase W. Dillon,5.687,Rosario Dawson,29.612,Justin Simien,3.46,2023,7,26
90000000,Family,446893,en,130.207,49300000,90,Trolls World Tour,7.3,1955,Justin Timberlake,12.405,Anna Kendrick,41.718,Walt Dohrn,18.904,2020,3,11
14000000,Comedy,114,en,129.451,463406268,119,Pretty Woman,7.457,7480,Richard Gere,43.337,Julia Roberts,27.725,Garry Marshall,13.558,1990,3,23
200000000,Drama,597,en,129.421,2264162353,194,Titanic,7.9,23862,Leonardo DiCaprio,42.545,Kate Winslet,34.058,James Cameron,31.086,1997,11,18
200000000,Adventure,10138,en,128.994,623933331,124,Iron Man 2,6.835,19888,Robert Downey Jr.,46.048,Gwyneth Paltrow,20.928,Jon Favreau,26.315,2010,4,28
140000000,Action,1726,en,128.971,585174222,126,Iron Man,7.639,25049,Robert Downey Jr.,46.048,Gwyneth Paltrow,20.928,Jon Favreau,26.315,2008,4,30
45000000,Family,8587,en,128.287,763455561,89,The Lion King,8.256,17166,Matthew Broderick,28.012,Moira Kelly,18.862,Roger Allers,5.873,1994,6,24
24000000,Fantasy,9479,en,128.158,75634409,76,The Nightmare Before Christmas,7.841,8702,Danny Elfman,16.335,William Hickey,21.171,Henry Selick,12.494,1993,10,9
39000000,Horror,423108,en,127.711,206431050,111,The Conjuring: The Devil Made Me Do It,7.474,5494,Patrick Wilson,38.366,Vera Farmiga,42.156,Michael Chaves,9.454,2021,5,25
70000000,Animation,73723,en,127.567,348840316,86,The Lorax,6.494,3269,Danny DeVito,29.125,Taylor Swift,48.03,Chris Renaud,8.466,2012,3,1
40000000,Drama,216015,en,126.75,571006128,125,Fifty Shades of Grey,5.883,11175,Jamie Dornan,44.696,Dakota Johnson,59.743,Sam Taylor-Johnson,3.779,2015,2,11
379000000,Adventure,1865,en,126.177,1045713802,137,Pirates of the Caribbean: On Stranger Tides,6.539,13238,Johnny Depp,46.375,Penélope Cruz,29.898,Rob Marshall,9.419,2011,5,15
14000000,Action,22004,en,124.2,13249535,101,Trespass,6.287,167,Bill Paxton,21.487,,,Walter Hill,6.064,1992,12,25
150000000,Animation,2062,en,123.993,623726000,111,Ratatouille,7.81,15884,Patton Oswalt,16.463,,,Brad Bird,8.302,2007,6,28
40000000,Crime,637649,en,122.847,103966489,119,Wrath of Man,7.662,4717,Jason Statham,143.451,,,Guy Ritchie,23.997,2021,4,22
62000000,Action,345887,en,122.038,190400157,121,The Equalizer 2,6.7,4810,Denzel Washington,61.815,,,Antoine Fuqua,13.732,2018,7,19
19000000,Animation,129,ja,121.74,274925095,125,Spirited Away,8.54,15112,Miyu Irino,14.549,Rumi Hiiragi,3.781,Hayao Miyazaki,19.254,2001,7,20
200000000,Adventure,58,en,121.424,1065659812,151,Pirates of the Caribbean: Dead Man's Chest,7.347,14995,Johnny Depp,46.375,Keira Knightley,38.999,Gore Verbinski,6.933,2006,7,6
10000000,Horror,760104,en,120.984,14779858,106,X,6.753,2385,Kid Cudi,16.738,Mia Goth,60.565,Ti West,6.041,2022,3,17
300000000,Adventure,285,en,120.023,961000000,169,Pirates of the Caribbean: At World's End,7.244,13466,Johnny Depp,46.375,Keira Knightley,38.999,Gore Verbinski,6.933,2007,5,19
85000000,Animation,438148,en,119.894,939628210,87,Minions: The Rise of Gru,7.366,3127,Steve Carell,28.435,Taraji P. Henson,25.005,Kyle Balda,5.316,2022,6,29
200000000,Science Fiction,524434,en,119.76,402064899,156,Eternals,6.916,7602,Richard Madden,24.668,Gemma Chan,39.667,Chloé Zhao,10.52,2021,11,3
26000000,Animation,675445,en,119.759,144327371,86,PAW Patrol: The Movie,7.427,1164,Iain Armitage,45.567,Lilly Bartlam,4.575,Cal Brunker,5.603,2021,8,9
32500000,Thriller,804150,en,119.695,87649532,96,Cocaine Bear,6.159,1578,Alden Ehrenreich,12.54,Keri Russell,18.712,Elizabeth Banks,30.627,2023,2,22
